SA1 (UR),Nil income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500 or more ($182,000 or more)",Not stated,Not applicable,Total
20101100510,16,12,9,16,17,24,13,21,14,18,19,13,24,4,27,19,90,357
20101100511,15,15,12,16,16,17,10,12,23,20,15,14,25,4,23,15,50,299
20101100512,14,10,19,25,17,18,12,25,30,30,11,8,19,9,0,15,58,305
20101100513,25,12,27,22,24,29,24,15,25,19,14,15,23,4,6,3,59,359
20101100514,14,4,10,5,10,15,9,9,10,6,5,5,12,3,15,0,26,169
20101100515,19,16,23,30,15,24,19,27,31,20,27,25,33,4,4,16,111,453
20101100516,27,10,14,24,16,13,18,13,29,25,25,24,29,11,0,11,76,358
20101100517,38,14,17,36,28,29,37,42,33,22,24,10,30,3,6,21,70,450
20101100518,35,22,16,31,24,24,38,26,34,45,44,23,59,14,20,11,206,666
20101100519,22,9,12,18,27,21,33,20,14,11,12,10,15,0,9,21,62,309
20101100601,21,10,32,36,30,28,14,26,17,6,6,0,0,0,6,77,122,427
20101100602,28,11,27,27,31,31,28,39,36,17,18,16,19,0,0,25,52,398
20101100603,11,11,15,28,26,33,33,35,30,28,5,18,7,0,0,18,65,365
20101100604,11,15,12,39,32,24,19,40,28,20,19,6,10,0,0,8,77,363
20101100607,21,10,16,22,24,19,13,15,19,8,11,8,22,6,6,11,48,265
20101100610,30,11,23,32,39,37,37,33,36,26,13,16,24,4,3,9,62,427
20101100611,32,12,30,47,28,20,28,24,32,21,19,6,5,0,8,21,47,372
20101100612,28,8,23,38,49,33,30,38,38,30,12,15,6,4,4,32,118,507
20101100613,23,9,10,30,28,32,19,15,20,13,16,12,5,0,0,20,49,294
20101100614,3,0,6,18,10,17,14,9,16,5,8,0,0,0,0,9,19,130
20101100615,19,23,18,53,41,42,39,42,44,13,23,11,22,0,0,10,91,486
20101100616,0,3,5,20,66,23,23,11,8,0,5,3,0,0,0,21,0,192
20101100618,15,5,13,14,16,23,31,57,70,28,34,20,14,6,0,19,132,487
20101100619,13,0,5,10,14,22,18,29,36,12,18,9,10,4,0,18,77,296
20101100620,46,11,25,40,32,49,68,108,114,49,37,33,30,5,8,25,224,891
20101100621,8,11,19,30,26,25,31,47,41,24,18,14,8,7,0,22,93,424
20101100622,21,11,17,19,17,13,27,29,58,50,25,32,26,0,6,15,144,497
20101100623,24,0,27,19,66,30,28,38,33,31,27,16,26,3,0,61,83,531
20101100624,36,14,26,31,25,35,34,59,44,55,24,17,50,3,10,14,206,680
20101100625,19,13,10,27,27,15,20,28,38,22,11,13,8,5,0,8,43,302
20101100626,12,4,8,9,5,14,19,28,24,11,11,12,11,0,0,3,67,249
20101100627,5,3,3,5,15,12,19,15,11,5,12,3,9,0,8,0,22,160
20101100628,23,17,22,27,27,25,22,38,51,35,32,16,22,0,4,13,88,471
20101100629,40,18,27,44,31,37,36,37,37,43,23,23,36,7,4,22,124,579
20101100630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
20101100631,26,12,18,32,44,39,53,86,84,60,53,31,36,4,8,32,206,822
20101100701,33,24,25,21,21,27,32,32,43,26,25,16,32,9,6,11,143,528
20101100702,30,12,17,32,28,20,6,29,32,17,23,8,30,6,7,9,63,362
20101100703,32,22,18,26,35,28,29,28,36,31,13,27,36,4,15,11,134,523
20101100704,23,14,24,45,26,27,32,25,27,25,17,17,23,3,4,8,70,408
20101100705,28,16,19,35,29,26,22,38,30,34,19,20,22,0,3,25,83,448
20101100706,25,17,27,31,39,28,26,45,35,43,38,27,39,3,5,13,131,582
20101100707,31,18,22,33,28,36,30,46,48,35,27,23,28,9,9,23,112,552
20101100708,31,17,18,22,14,32,23,38,35,24,27,15,24,0,9,13,97,429
20101100709,21,30,17,16,29,22,29,26,30,21,25,10,25,0,8,10,51,384
20101100801,14,10,27,43,25,14,17,17,9,0,5,0,0,0,0,49,108,332
