SA1 (UR),"Managers, nfd","Chief Executives, General Managers and Legislators",Farmers and Farm Managers,Specialist Managers,"Hospitality, Retail and Service Managers","Professionals, nfd",Arts and Media Professionals,"Business, Human Resource and Marketing Professionals","Design, Engineering, Science and Transport Professionals",Education Professionals,Health Professionals,ICT Professionals,"Legal, Social and Welfare Professionals","Technicians and Trades Workers, nfd","Engineering, ICT and Science Technicians",Automotive and Engineering Trades Workers,Construction Trades Workers,Electrotechnology and Telecommunications Trades Workers,Food Trades Workers,Skilled Animal and Horticultural Workers,Other Technicians and Trades Workers,"Community and Personal Service Workers, nfd",Health and Welfare Support Workers,Carers and Aides,Hospitality Workers,Protective Service Workers,Sports and Personal Service Workers,"Clerical and Administrative Workers, nfd",Office Managers and Program Administrators,Personal Assistants and Secretaries,General Clerical Workers,Inquiry Clerks and Receptionists,Numerical Clerks,Clerical and Office Support Workers,Other Clerical and Administrative Workers,"Sales Workers, nfd",Sales Representatives and Agents,Sales Assistants and Salespersons,Sales Support Workers,"Machinery Operators and Drivers, nfd",Machine and Stationary Plant Operators,Mobile Plant Operators,Road and Rail Drivers,Storepersons,"Labourers, nfd",Cleaners and Laundry Workers,Construction and Mining Labourers,Factory Process Workers,"Farm, Forestry and Garden Workers",Food Preparation Assistants,Other Labourers,Inadequately described,Not stated,Not applicable,Total
20101100129,0,0,0,12,18,3,0,9,5,18,26,3,3,0,4,8,10,0,9,0,9,0,4,15,6,10,0,0,3,0,3,7,5,0,7,0,0,22,3,0,3,0,3,0,0,7,3,5,0,3,5,3,3,254,514
20101100130,0,0,0,9,7,4,0,13,4,7,36,5,5,0,10,6,0,0,3,0,0,0,0,18,3,0,0,0,3,0,5,4,4,0,3,0,4,3,0,0,0,0,3,5,0,3,0,4,0,3,5,0,0,155,343
20101100131,0,0,3,11,4,0,0,9,7,8,36,0,0,0,5,0,6,4,0,0,0,0,0,10,0,0,0,0,4,0,7,3,7,0,0,0,4,15,0,0,0,0,8,3,0,0,0,0,0,0,7,0,0,184,372
20101100132,0,0,0,29,15,0,0,18,10,29,40,3,10,0,9,10,10,3,15,8,6,0,14,47,11,14,6,0,3,3,14,10,10,0,18,0,12,36,4,0,3,9,15,3,0,13,14,6,4,10,4,6,4,441,960
20101100133,0,3,0,11,15,0,0,4,4,16,21,4,0,0,4,5,11,0,0,4,0,0,7,14,7,3,3,0,0,0,0,7,9,0,9,0,7,12,0,0,0,0,6,0,0,3,3,0,0,7,8,0,0,193,418
20101100134,0,0,0,3,9,0,0,5,0,3,3,3,0,0,6,5,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,227
20101100135,0,4,0,14,13,0,0,11,10,10,31,7,3,0,5,7,4,4,4,0,0,0,0,26,8,10,5,0,0,3,7,7,4,0,10,0,6,14,0,0,0,0,10,4,0,5,0,4,0,0,0,7,0,217,480
20101100136,0,7,0,21,19,4,0,11,12,19,31,10,7,0,10,8,9,0,3,4,5,0,8,19,8,6,5,0,4,3,9,9,11,0,9,0,10,37,4,0,0,4,9,0,0,4,5,9,9,3,0,0,6,309,674
20101100137,0,3,0,19,15,0,0,19,0,12,27,3,8,0,9,8,4,3,4,0,0,0,0,19,8,3,0,0,5,0,6,11,11,0,11,0,6,19,3,0,0,0,6,0,0,3,0,9,0,7,0,0,0,217,480
20101100138,0,0,0,11,17,0,5,22,5,23,31,3,4,0,7,3,15,0,5,0,0,0,5,14,4,12,6,0,3,3,3,6,3,0,8,0,0,27,9,0,3,0,22,0,0,3,3,10,0,0,6,6,0,246,568
20101100139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20101100140,0,6,5,29,10,0,4,22,10,19,40,3,6,0,3,3,7,3,4,0,0,0,4,7,3,0,6,0,8,0,12,8,7,0,4,0,7,26,0,0,0,0,3,0,0,0,0,8,0,3,0,4,0,268,572
20101100141,6,3,7,7,11,0,0,4,8,5,8,0,0,0,3,3,3,3,3,0,0,0,0,8,3,0,0,0,0,0,4,5,3,0,0,0,0,5,0,0,3,5,9,0,5,4,3,0,7,0,0,0,0,134,275
20101100142,0,0,3,6,4,0,0,8,4,10,9,0,0,0,10,4,12,3,4,3,0,0,6,11,0,0,4,0,0,0,5,8,7,0,7,0,0,12,0,0,0,4,0,0,0,0,4,4,0,0,0,0,0,192,361
20101100201,0,3,0,19,6,3,5,10,8,8,18,6,12,0,0,5,8,3,0,4,5,0,5,12,9,0,4,0,8,0,14,0,0,0,3,0,8,12,4,0,4,0,9,0,0,5,0,5,4,8,0,3,0,268,523
20101100202,0,0,0,11,15,0,0,13,0,10,9,3,0,0,0,7,0,0,4,0,0,0,4,4,0,0,0,0,7,0,5,0,4,0,0,0,3,7,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,168,306
20101100203,0,3,0,7,4,0,0,15,6,5,21,0,0,0,4,3,9,0,0,0,0,0,0,14,6,0,5,0,11,0,3,7,6,0,3,0,0,8,3,0,0,0,0,0,0,4,0,4,0,4,0,0,0,228,409
20101100204,3,5,0,18,12,0,4,19,12,17,23,0,3,0,5,3,3,0,3,0,4,0,3,8,4,3,5,0,0,3,5,8,8,0,4,0,0,16,5,0,4,0,0,0,0,8,0,4,4,3,0,5,0,326,559
20101100205,0,0,0,17,6,0,0,16,6,25,24,5,8,0,10,4,7,0,8,0,3,0,9,18,5,8,3,0,4,0,6,6,5,0,7,0,0,13,4,0,0,0,6,0,0,4,0,0,0,0,0,0,3,302,545
20101100206,4,0,3,21,10,0,0,12,9,15,24,0,4,0,6,0,3,0,0,0,0,0,4,4,7,0,3,0,3,0,3,8,7,0,0,0,3,15,8,0,0,0,4,0,0,3,0,5,5,5,0,0,0,270,462
20101100207,0,4,0,9,5,0,0,16,0,21,19,0,5,0,0,0,4,3,0,0,0,0,0,9,0,5,0,0,7,4,6,8,0,0,0,0,4,11,4,0,0,0,0,0,0,3,0,4,0,5,0,0,0,194,366
20101100208,6,17,4,23,16,0,0,20,3,9,46,0,4,0,0,0,8,0,0,0,0,0,0,5,9,0,0,0,0,3,7,4,6,0,0,0,6,10,4,0,0,0,0,0,0,6,0,0,0,3,0,3,0,327,585
20101100209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20101100210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20101100211,0,5,0,25,9,4,0,16,10,29,33,3,0,0,7,0,8,6,0,3,0,0,10,14,8,0,0,0,10,0,9,12,3,0,3,0,0,8,0,0,0,0,9,0,0,0,6,3,4,3,0,0,3,203,475
20101100212,0,4,0,15,5,0,0,5,3,3,16,0,5,0,4,0,4,0,0,0,0,0,4,13,4,0,0,0,4,0,3,0,0,0,0,0,0,10,0,0,0,0,4,0,0,0,0,3,0,0,0,0,4,220,339
20101100213,0,7,0,17,0,0,7,11,9,19,31,0,4,0,5,0,5,0,0,0,3,0,3,7,8,8,3,0,3,0,7,0,0,0,0,0,4,12,0,0,0,0,6,0,0,4,0,0,0,0,4,0,0,198,378
20101100214,0,0,0,11,6,0,4,12,9,18,12,4,5,0,4,3,7,0,0,0,0,0,4,7,4,7,6,0,6,0,8,3,3,3,5,0,3,14,0,0,0,0,3,0,0,3,0,5,0,0,0,5,0,212,413
20101100215,0,0,0,26,15,5,6,15,7,21,29,4,6,0,12,0,4,0,4,8,5,0,5,10,11,0,12,0,3,4,3,8,5,5,0,0,0,15,8,0,0,0,4,0,0,3,6,9,0,0,4,0,0,213,488
20101100216,0,3,0,10,3,0,6,10,17,17,19,6,7,0,0,0,5,0,0,0,0,0,3,6,7,3,0,0,3,0,6,9,4,5,5,0,0,8,0,0,0,0,6,3,0,3,0,6,0,0,7,5,0,190,399
20101100217,0,3,0,15,9,0,0,11,9,12,19,0,4,0,7,0,0,0,3,0,0,0,0,8,8,0,5,0,3,0,9,0,3,0,0,0,5,8,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,174,334
20101100218,0,4,0,17,6,0,3,7,3,12,15,3,13,0,0,0,8,0,3,0,0,0,3,10,6,0,3,0,4,0,0,4,7,0,4,0,3,16,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,189,365
20101100219,0,0,0,3,4,0,0,6,6,0,0,0,0,0,0,0,5,0,7,0,0,0,0,11,12,0,0,0,0,0,0,9,3,0,0,0,3,5,3,0,0,0,4,0,0,6,0,0,0,3,0,0,3,104,207
20101100220,0,3,4,8,7,0,5,12,0,12,22,0,9,0,0,0,0,0,3,0,6,0,0,4,5,0,0,0,0,0,4,3,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,100,227
20101100221,0,0,0,0,10,0,4,13,0,5,8,0,4,0,0,4,5,0,8,0,0,0,0,3,3,0,0,0,0,0,0,0,4,3,0,0,6,10,0,0,4,0,0,0,0,0,0,3,0,0,5,0,0,111,221
20101100222,4,5,5,28,11,4,8,17,9,15,43,0,11,0,0,0,3,0,0,0,0,0,5,8,11,0,9,0,0,4,9,4,0,0,4,0,10,8,0,0,0,0,0,0,0,9,0,0,0,0,3,3,0,279,541
20101100223,0,0,0,17,10,0,0,14,7,13,28,4,10,0,5,0,0,0,4,4,0,0,3,4,6,0,4,0,10,0,6,9,0,0,6,0,3,18,0,0,0,0,4,0,0,4,0,4,0,3,0,0,0,369,571
20101100224,0,4,0,12,10,0,0,17,9,22,28,0,9,0,0,4,4,0,4,3,10,0,6,9,0,0,0,0,0,4,0,5,4,0,7,0,3,7,3,0,0,0,5,0,0,9,0,7,0,4,5,0,3,253,485
20101100225,0,4,0,12,7,0,0,4,4,8,9,0,0,0,5,3,4,0,0,0,0,0,0,9,5,0,0,0,5,5,3,7,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,133,251
20101100226,3,0,0,0,5,0,3,7,5,5,13,0,0,0,0,0,0,0,0,0,0,0,6,9,5,0,5,0,3,0,0,0,0,0,4,0,0,4,0,0,0,4,0,0,0,0,0,0,0,4,3,0,0,88,186
20101100227,3,0,0,18,7,0,0,14,6,14,44,0,3,0,0,0,3,3,0,0,0,0,3,8,6,4,0,0,0,0,3,4,0,0,3,0,0,14,4,0,0,0,6,0,0,0,0,0,0,6,0,3,0,175,368
20101100228,0,0,0,11,4,0,0,13,0,9,19,0,0,0,0,0,0,4,4,0,0,0,0,5,0,0,0,0,10,0,4,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,273
20101100229,0,9,0,16,9,0,0,5,0,11,22,0,4,0,0,3,6,5,0,3,0,0,5,10,3,0,6,0,3,0,10,9,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,149,330
20101100230,0,0,0,11,0,0,0,7,0,15,22,0,8,0,4,4,6,7,5,6,0,0,3,9,3,0,3,0,3,0,6,10,5,0,3,0,0,13,0,0,3,0,4,4,0,0,0,8,0,0,0,0,0,153,339
20101100231,0,9,0,16,7,3,4,9,4,9,20,0,7,0,5,3,7,0,6,0,3,0,3,18,10,3,3,0,3,0,3,5,3,0,5,0,3,9,0,0,0,0,7,0,0,3,0,0,0,0,0,5,0,197,403
20101100232,0,0,0,10,3,0,0,8,5,6,12,0,0,0,4,0,0,0,3,0,3,0,0,15,0,0,0,0,0,0,8,3,0,0,3,0,0,6,0,0,0,0,0,0,4,4,0,0,0,0,8,0,0,112,258
20101100233,0,5,0,14,5,0,6,6,5,13,28,0,9,0,0,0,4,0,0,0,0,0,0,12,5,0,0,0,0,3,0,4,0,0,0,0,0,7,3,0,0,0,4,0,0,5,0,4,0,3,3,0,0,182,351
20101100234,0,3,0,5,3,0,0,4,4,5,7,4,3,0,3,0,7,0,5,0,0,0,6,6,0,0,0,0,4,0,3,3,0,0,0,0,0,3,4,0,0,0,6,0,0,7,0,0,0,0,0,0,0,75,174
20101100501,0,0,0,15,8,0,0,15,7,11,13,0,0,0,0,10,9,0,0,0,0,0,5,10,0,4,5,0,9,4,10,4,0,0,3,0,3,10,10,0,6,0,0,3,0,0,0,0,0,0,0,0,0,191,382
20101100502,5,0,0,24,5,0,0,10,9,25,18,4,3,0,5,13,3,3,3,0,3,0,10,18,9,7,0,0,8,0,8,7,6,4,4,0,6,19,9,0,0,0,3,0,0,0,5,0,0,3,3,5,0,379,678
20101100504,0,3,3,25,11,0,0,12,4,22,16,0,5,0,0,8,8,0,4,9,5,0,4,15,6,0,9,0,10,0,4,8,4,4,3,0,0,13,3,0,0,0,0,0,0,4,5,4,0,11,9,3,0,312,567
20101100505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,7,3,0,0,98,136
20101100506,0,0,0,19,4,0,0,18,8,25,10,11,6,0,3,3,10,4,0,0,4,0,6,22,0,0,9,0,4,0,8,5,0,0,0,0,4,20,3,0,0,4,5,0,0,9,0,6,0,13,10,0,0,247,521
20101100507,0,3,0,25,0,3,0,4,4,18,13,0,4,0,0,10,9,5,0,5,3,0,4,8,8,3,4,0,8,0,7,3,0,4,4,0,0,3,3,0,0,0,0,0,0,0,0,3,0,5,0,0,0,232,418
20101100508,0,0,0,22,6,4,0,13,10,34,19,7,9,0,6,7,12,3,0,4,0,0,4,11,5,7,0,0,3,0,8,12,10,0,3,0,0,16,4,0,0,0,0,0,0,6,6,0,4,0,4,6,0,250,516
20101100509,0,3,0,18,6,0,0,7,9,8,8,0,3,0,0,3,3,0,4,0,0,0,0,6,3,3,0,0,3,0,4,3,0,0,5,0,0,12,3,0,3,0,4,0,0,0,0,0,0,3,5,0,4,155,289
20101100510,0,8,3,15,8,0,0,10,12,17,17,0,4,0,0,4,4,3,0,0,3,0,4,3,0,0,0,0,7,5,0,6,0,0,4,0,0,9,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,202,362
20101100511,0,0,0,11,0,0,4,9,4,11,17,5,3,0,8,3,6,5,0,0,3,0,5,8,3,5,6,0,4,0,5,3,4,4,0,0,0,5,0,0,0,4,3,3,0,4,3,0,0,0,0,0,0,142,299
20101100512,0,4,3,10,8,0,0,4,3,9,8,0,5,3,4,9,8,4,0,0,0,0,4,9,9,0,0,0,5,0,0,6,6,4,8,0,0,6,4,0,4,3,10,0,0,4,0,6,0,5,3,0,5,142,314
20101100513,0,6,0,12,6,0,0,0,0,5,6,7,0,0,0,11,8,5,0,4,0,0,3,12,0,7,3,0,8,0,3,3,3,0,0,0,3,15,0,0,5,3,8,0,0,5,4,0,0,0,3,0,0,178,363
20101100514,0,3,0,13,3,0,0,6,3,8,9,3,3,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,4,0,0,6,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,79,171
20101100515,0,5,0,14,8,0,0,10,10,25,14,7,3,0,0,8,8,5,0,0,0,0,5,17,4,0,3,0,0,0,5,8,6,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,4,7,0,6,234,455
20101100516,4,5,0,17,9,0,0,8,3,14,10,7,4,0,3,7,7,5,0,0,0,0,7,0,4,0,3,0,6,0,6,0,10,0,5,0,4,11,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,174,365
20101100517,0,7,0,19,7,0,4,6,11,17,13,7,6,0,14,3,8,3,0,0,5,0,4,12,7,0,3,0,5,0,11,9,7,4,7,0,4,17,7,0,3,0,3,0,0,3,0,0,0,7,3,0,6,209,450
20101100518,5,4,3,39,4,0,0,26,13,32,24,7,10,0,0,6,9,8,5,3,0,0,7,9,4,7,4,0,4,5,10,3,9,0,15,0,3,14,3,0,4,0,3,0,0,0,0,4,0,6,4,0,0,361,668
20101100519,0,0,0,9,10,0,0,3,4,11,3,0,5,0,0,0,5,0,0,5,0,0,3,11,0,0,0,0,0,0,4,0,6,0,0,0,0,10,3,0,3,5,3,0,0,0,4,0,3,0,0,0,0,191,309
20101100601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,0,0,0,0,5,5,0,0,0,3,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,7,0,0,4,0,0,341,427
20101100602,0,0,0,7,7,0,0,4,0,9,5,0,6,0,0,3,10,4,0,0,9,0,3,7,3,0,0,0,0,0,10,11,5,0,4,0,0,23,0,0,8,4,7,5,0,3,4,3,0,3,3,3,0,208,398
20101100603,0,0,0,11,5,5,0,3,0,6,12,3,0,0,7,8,3,0,3,4,0,0,8,11,3,4,0,0,3,4,0,6,4,4,3,0,5,18,0,0,7,0,5,3,0,3,0,3,0,9,4,7,0,190,369
20101100604,0,0,0,7,9,0,0,9,0,13,5,0,0,0,6,14,0,0,0,0,0,0,0,8,11,0,8,0,6,4,3,8,3,4,4,0,0,23,4,0,4,3,10,0,0,0,0,4,0,4,3,4,0,170,366
20101100607,0,0,0,10,4,0,0,0,3,7,5,0,0,0,0,11,3,0,0,0,3,0,5,8,0,4,0,0,0,0,4,5,5,0,3,0,0,13,5,0,0,0,3,0,0,4,4,3,0,0,0,3,0,131,270
20101100610,0,0,0,18,9,0,0,6,0,8,3,4,0,0,0,3,9,3,0,3,4,0,0,21,4,0,3,0,0,5,4,6,5,0,7,0,7,11,4,0,0,5,8,0,0,4,5,16,4,0,0,0,3,227,428
